===============================================================
           Sistemas Distribuí­dos Prof. Elias
          LOG do Trabalho Prático 0, Tarefa 0
      Digitar, compilar e executar o programa tempo.c
   Este programa foi executado para: N=10 processos.
           Tempo Total de Simulação = 400
===============================================================
[89.0, Proc. 4, Rodada 1, Sorteio:  1  0  1  0  1  0  0  0  0  0  ]: Recebido mensagem de 3 com nova rodada e sorteie o numero 1
[89.0, Proc. 4, Rodada 1, Sorteio:  1  0  1  0  1  0  0  0  0  0  ]: tenho todos os sorteados, mas ninguem foi eleito
[89.0, Proc. 4, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Nova rodada 1 -> 2
[90.0, Proc. 6, Rodada 0, Sorteio:  1  0  1  0  1  0  0 -1 -1  0  ]: Recebido mensagem de 5
[91.0, Proc. 7, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0 -1  0  ]: Recebido mensagem de 6
[93.0, Proc. 9, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 8
[94.0, Proc. 0, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 9
[95.0, Proc. 1, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 0
[96.0, Proc. 2, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 1
[97.0, Proc. 3, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 2
[99.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Processo 5 e recebeu mensagem de 4 com nova rodada e nao sou candidato
[100.0, Proc. 7, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0 -1  0  ]: Recebido mensagem de 6
[102.0, Proc. 9, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 8
[103.0, Proc. 0, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 9
[104.0, Proc. 1, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 0
[105.0, Proc. 2, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 1
[106.0, Proc. 3, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 2
[108.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[109.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Processo 6 e recebeu mensagem de 5 com nova rodada e nao sou candidato
[111.0, Proc. 9, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 8
[112.0, Proc. 0, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 9
[113.0, Proc. 1, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 0
[114.0, Proc. 2, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 1
[115.0, Proc. 3, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 2
[117.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[118.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[119.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Processo 7 e recebeu mensagem de 6 com nova rodada e nao sou candidato
[120.0, Proc. 9, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 8
[121.0, Proc. 0, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 9
[122.0, Proc. 1, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 0
[123.0, Proc. 2, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 1
[124.0, Proc. 3, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 2
[126.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[127.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[128.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 6
[129.0, Proc. 8, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Processo 8 e recebeu mensagem de 7 com nova rodada e nao sou candidato
[130.0, Proc. 0, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 9
[131.0, Proc. 1, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 0
[132.0, Proc. 2, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 1
[133.0, Proc. 3, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 2
[135.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[136.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[137.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 6
[138.0, Proc. 8, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 7
[139.0, Proc. 9, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Processo 9 e recebeu mensagem de 8 com nova rodada e nao sou candidato
[140.0, Proc. 1, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 0
[141.0, Proc. 2, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 1
[142.0, Proc. 3, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 2
[144.0, Proc. 5, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 4
[145.0, Proc. 6, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 5
[146.0, Proc. 7, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 6
[147.0, Proc. 8, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 7
[148.0, Proc. 9, Rodada 2, Sorteio: -1  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 8
[149.0, Proc. 0, Rodada 2, Sorteio:  0  0 -1  0  0  0  0  0  0  0  ]: Recebido mensagem de 9 com nova rodada e sorteie o numero 0
